model_file	model_id	species	strain	sha256	source	redistributed	model_name	compartments	metadata_status
Bacteroides_ovatus_ERR1204053.xml	M_Bacteroides_ovatus_ERR1204053	Bacteroides ovatus	ERR1204053	a25bdfc1881ff0355adc244626c92bfbbe6c301421f39a69dca6c314f031f8c2	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Bacteroides ovatus ERR1204053	c; e; p	automatic draft; verify species, strain, source, and redistribution before publication
Bacteroides_ovatus_ERR2221136.xml	M_Bacteroides_ovatus_ERR2221136	Bacteroides ovatus	ERR2221136	a326bdcac4f62c803201488d76d202f0a05d7b8991bf4cc7170c8c74214e5627	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Bacteroides ovatus ERR2221136	c; e; p	automatic draft; verify species, strain, source, and redistribution before publication
Bacteroides_ovatus_ERR2230063.xml	M_Bacteroides_ovatus_ERR2230063	Bacteroides ovatus	ERR2230063	ee1c0afc19d03e01a9db4d4fcfe1f28053e10ee4076b512bf6e0ebe609c1afad	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Bacteroides ovatus ERR2230063	c; e; p	automatic draft; verify species, strain, source, and redistribution before publication
Bacteroides_xylanisolvens_ERR1022297.xml	M_Bacteroides_xylanisolvens_ERR1022297	Bacteroides xylanisolvens	ERR1022297	2d49e4a5ee88b991024bebbd6ea61cb05fd6e4b5fefc60bd2f89b127307636ec	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Bacteroides xylanisolvens ERR1022297	c; e; p	automatic draft; verify species, strain, source, and redistribution before publication
Bacteroides_xylanisolvens_ERR2221139.xml	M_Bacteroides_xylanisolvens_ERR2221139	Bacteroides xylanisolvens	ERR2221139	437c38e896c3c0e917ee681c1ee1e05e8d65f854bdf051b42a6ac7dd3cdddea7	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Bacteroides xylanisolvens ERR2221139	c; e; p	automatic draft; verify species, strain, source, and redistribution before publication
Bacteroides_xylanisolvens_ERR2221366.xml	M_Bacteroides_xylanisolvens_ERR2221366	Bacteroides xylanisolvens	ERR2221366	40b0a3579bb8602b9e0e56ae9d40d36e90ba813fa8703c17549b79217746f57e	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Bacteroides xylanisolvens ERR2221366	c; e; p	automatic draft; verify species, strain, source, and redistribution before publication
Bacteroides_xylanisolvens_ERR2230096.xml	M_Bacteroides_xylanisolvens_ERR2230096	Bacteroides xylanisolvens	ERR2230096	5434e80f9d54826f6e70b0f5b6a86adb43a2d397a9a1d971466c0b1dd7b211f3	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Bacteroides xylanisolvens ERR2230096	c; e; p	automatic draft; verify species, strain, source, and redistribution before publication
Bacteroides_xylanisolvens_ERR2230097.xml	M_Bacteroides_xylanisolvens_ERR2230097	Bacteroides xylanisolvens	ERR2230097	c212c9dc56083bb206c62370bcd22d7e2c31588bffe79b04295803e900576f09	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Bacteroides xylanisolvens ERR2230097	c; e; p	automatic draft; verify species, strain, source, and redistribution before publication
Blautia_faecis_ERR2221099.xml	M_Blautia_faecis_ERR2221099	Blautia faecis	ERR2221099	7a9f79180edfd3fad0386c74c72c454d0d8eb10f8994bdf58f4a88088c8008fe	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Blautia faecis ERR2221099	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Eubacterium_rectale_ATCC_33656.xml	M_Eubacterium_rectale_ATCC_33656	Eubacterium rectale	ATCC 33656	089241dee442b8a9ee6e470a1def9f1750857e2ef8a4007393c4a885f315c6f2	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Eubacterium rectale ATCC 33656	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Eubacterium_rectale_DSM_17629.xml	M_Eubacterium_rectale_DSM_17629	Eubacterium rectale	DSM 17629	c678a6ce2080ebc600a18aeeb314c793d6cde6c7971b1ab3191dfcc48cdbb1a1	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Eubacterium rectale DSM 17629	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Eubacterium_rectale_ERR1022318.xml	M_Eubacterium_rectale_ERR1022318	Eubacterium rectale	ERR1022318	3fef588913b46676cbd06d37728aeb8978ca1be56bbd90ef3f3de8b5a7c112ae	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Eubacterium rectale ERR1022318	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Eubacterium_rectale_ERR1022399.xml	M_Eubacterium_rectale_ERR1022399	Eubacterium rectale	ERR1022399	4ac6b065acdc15947f7451031d0290a2c722da4ebde8cffd9800264b60ea3515	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Eubacterium rectale ERR1022399	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Eubacterium_rectale_ERR1022482.xml	M_Eubacterium_rectale_ERR1022482	Eubacterium rectale	ERR1022482	60b027afa39c43b8070c0895d20d536d27f5f79cd92160831f1878016f2d011f	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Eubacterium rectale ERR1022482	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Eubacterium_rectale_ERR1203958.xml	M_Eubacterium_rectale_ERR1203958	Eubacterium rectale	ERR1203958	93966b2c48a70838f37970ce5622562fb1bc06d511e7c665aa1aa7cf0c6190d0	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Eubacterium rectale ERR1203958	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Eubacterium_rectale_ERR1204052.xml	M_Eubacterium_rectale_ERR1204052	Eubacterium rectale	ERR1204052	cee859079f79676d910134e43e687f93bd5b97c251bd1c946f85a0d86aaa3654	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Eubacterium rectale ERR1204052	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Eubacterium_rectale_ERR2221160.xml	M_Eubacterium_rectale_ERR2221160	Eubacterium rectale	ERR2221160	186e363ca3769bf2b3ba610b08a7a857ec4f53de50c852f29f8a370f20b031b2	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Eubacterium rectale ERR2221160	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Eubacterium_rectale_ERR2230060.xml	M_Eubacterium_rectale_ERR2230060	Eubacterium rectale	ERR2230060	29cb0e346549ca584aed73ad4cb2427c6b913606486541326b655e0756505639	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Eubacterium rectale ERR2230060	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Eubacterium_rectale_M104_1.xml	M_Eubacterium_rectale_M104_1	Eubacterium rectale	M104 1	52c73ef0fa4e20acba2b156a3dd1aaeb0529873b792c8a211400325210303ca8	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Eubacterium rectale M104 1	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Gemmiger_formicilis_ATCC_27749.xml	M_Gemmiger_formicilis_ATCC_27749	Gemmiger formicilis	ATCC 27749	86539ec431dcbbab8cf87e14a8f942e5099115a4ca1dbbb9f457fe954aed9985	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Gemmiger formicilis ATCC 27749	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Gemmiger_formicilis_ERR1203953.xml	M_Gemmiger_formicilis_ERR1203953	Gemmiger formicilis	ERR1203953	10e4460c73b03d8d43d1dbfc238aa2aaf3f496e2906df967d1c6a4771bfcbf8e	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Gemmiger formicilis ERR1203953	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Gemmiger_formicilis_ERR1204047.xml	M_Gemmiger_formicilis_ERR1204047	Gemmiger formicilis	ERR1204047	cc7cd4695f6f3268f0ceea3f9dbd988a9b73e1a2513f471b093b5a2f35f46469	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Gemmiger formicilis ERR1204047	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Gemmiger_formicilis_ERR2221191.xml	M_Gemmiger_formicilis_ERR2221191	Gemmiger formicilis	ERR2221191	ce33c059a4c37f024c30b8775e5a0b20cca93bdb7e4d6099da86fcfe627e4af6	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Gemmiger formicilis ERR2221191	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Oscillibacter_sp_KLE_1728.xml	M_Oscillibacter_sp_KLE_1728	Oscillibacter sp	KLE 1728	f5f95f1ff56f3067a64c53a0079e0d6709182de6d56f708a425658f5e28b0264	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Oscillibacter sp KLE 1728	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Oscillibacter_sp_KLE_1745.xml	M_Oscillibacter_sp_KLE_1745	Oscillibacter sp	KLE 1745	3473623b189776b3ae301ad81a41f50cc35e534aa7f5f8e4129de7d4956a8639	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Oscillibacter sp KLE 1745	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Roseburia_hominis_A2_183.xml	M_Roseburia_hominis_A2_183	Roseburia hominis	A2 183	d3f868fbbd95dc4e18f8179f624be5a9a9d629b482160cf805322e546ab41e02	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Roseburia hominis A2 183	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Roseburia_hominis_ERR1022292.xml	M_Roseburia_hominis_ERR1022292	Roseburia hominis	ERR1022292	c46766a322c6f6b14a266b1257c87c42354fbaf8f16ff0d0d6a58bae8705136c	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Roseburia hominis ERR1022292	c; e	automatic draft; verify species, strain, source, and redistribution before publication
