target_id	target	donor_species	precursor_id	precursor_name	recipient_species	literature_class	evidence_tier	literature_taxon	literature_strain	evidence_summary	citation	doi	url	screening_note
4abut	GABA	Bacteroides xylanisolvens	glu_L	L-glutamate	Alistipes onderdonkii	no_qualifying_direct_support	no_exact_species_release_evidence_found	Bacteroides xylanisolvens	XB1AT (DSM 18836T)	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Chassard et al. 2008	10.1099/ijs.0.65504-0	https://pubmed.ncbi.nlm.nih.gov/18398210/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
4abut	GABA	Bacteroides xylanisolvens	glu_L	L-glutamate	Alistipes sp	no_qualifying_direct_support	no_exact_species_release_evidence_found	Bacteroides xylanisolvens	XB1AT (DSM 18836T)	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Chassard et al. 2008	10.1099/ijs.0.65504-0	https://pubmed.ncbi.nlm.nih.gov/18398210/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
4abut	GABA	Bacteroides xylanisolvens	glu_L	L-glutamate	Bacteroides ovatus	no_qualifying_direct_support	no_exact_species_release_evidence_found	Bacteroides xylanisolvens	XB1AT (DSM 18836T)	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Chassard et al. 2008	10.1099/ijs.0.65504-0	https://pubmed.ncbi.nlm.nih.gov/18398210/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
4abut	GABA	Bacteroides xylanisolvens	glu_L	L-glutamate	Eubacterium rectale	no_qualifying_direct_support	no_exact_species_release_evidence_found	Bacteroides xylanisolvens	XB1AT (DSM 18836T)	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Chassard et al. 2008	10.1099/ijs.0.65504-0	https://pubmed.ncbi.nlm.nih.gov/18398210/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
4abut	GABA	Blautia faecis	glu_L	L-glutamate	Alistipes onderdonkii	no_qualifying_direct_support	no_exact_species_release_evidence_found	Blautia faecis	M25T (KCTC 5980T)	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Park et al. 2013	10.1099/ijs.0.036541-0	https://pubmed.ncbi.nlm.nih.gov/22544782/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
4abut	GABA	Blautia faecis	glu_L	L-glutamate	Alistipes sp	no_qualifying_direct_support	no_exact_species_release_evidence_found	Blautia faecis	M25T (KCTC 5980T)	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Park et al. 2013	10.1099/ijs.0.036541-0	https://pubmed.ncbi.nlm.nih.gov/22544782/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
4abut	GABA	Blautia faecis	glu_L	L-glutamate	Bacteroides ovatus	no_qualifying_direct_support	no_exact_species_release_evidence_found	Blautia faecis	M25T (KCTC 5980T)	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Park et al. 2013	10.1099/ijs.0.036541-0	https://pubmed.ncbi.nlm.nih.gov/22544782/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
4abut	GABA	Blautia faecis	glu_L	L-glutamate	Eubacterium rectale	no_qualifying_direct_support	no_exact_species_release_evidence_found	Blautia faecis	M25T (KCTC 5980T)	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Park et al. 2013	10.1099/ijs.0.036541-0	https://pubmed.ncbi.nlm.nih.gov/22544782/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
4abut	GABA	Eubacterium rectale	asn_L	L-asparagine	Bacteroides ovatus	no_qualifying_direct_support	same_species_measurement_did_not_support	Eubacterium rectale	ATCC 33656	The same-species cultured-strain metabolomics resource did not provide qualifying extracellular release evidence for this exact precursor under the prespecified evidence rule.	Han et al. 2021	10.1038/s41586-021-03707-9	https://pubmed.ncbi.nlm.nih.gov/34262212/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
4abut	GABA	Eubacterium rectale	glu_L	L-glutamate	Alistipes onderdonkii	no_qualifying_direct_support	same_species_measurement_did_not_support	Eubacterium rectale	ATCC 33656	The same-species cultured-strain metabolomics resource did not provide qualifying extracellular release evidence for this exact precursor under the prespecified evidence rule.	Han et al. 2021	10.1038/s41586-021-03707-9	https://pubmed.ncbi.nlm.nih.gov/34262212/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
4abut	GABA	Eubacterium rectale	glu_L	L-glutamate	Alistipes sp	no_qualifying_direct_support	same_species_measurement_did_not_support	Eubacterium rectale	ATCC 33656	The same-species cultured-strain metabolomics resource did not provide qualifying extracellular release evidence for this exact precursor under the prespecified evidence rule.	Han et al. 2021	10.1038/s41586-021-03707-9	https://pubmed.ncbi.nlm.nih.gov/34262212/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
4abut	GABA	Eubacterium rectale	glu_L	L-glutamate	Bacteroides ovatus	no_qualifying_direct_support	same_species_measurement_did_not_support	Eubacterium rectale	ATCC 33656	The same-species cultured-strain metabolomics resource did not provide qualifying extracellular release evidence for this exact precursor under the prespecified evidence rule.	Han et al. 2021	10.1038/s41586-021-03707-9	https://pubmed.ncbi.nlm.nih.gov/34262212/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
4abut	GABA	Roseburia hominis	asn_L	L-asparagine	Bacteroides ovatus	no_qualifying_direct_support	no_exact_species_release_evidence_found	Roseburia hominis	A2-183 (DSM 16839)	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Bhattacharya et al. 2022	10.3390/microorganisms10122496	https://pmc.ncbi.nlm.nih.gov/articles/PMC9784577/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
4abut	GABA	Roseburia hominis	asp_L	L-aspartate	Eubacterium rectale	no_qualifying_direct_support	no_exact_species_release_evidence_found	Roseburia hominis	A2-183 (DSM 16839)	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Bhattacharya et al. 2022	10.3390/microorganisms10122496	https://pmc.ncbi.nlm.nih.gov/articles/PMC9784577/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
4abut	GABA	Roseburia hominis	glu_L	L-glutamate	Alistipes onderdonkii	no_qualifying_direct_support	no_exact_species_release_evidence_found	Roseburia hominis	A2-183 (DSM 16839)	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Bhattacharya et al. 2022	10.3390/microorganisms10122496	https://pmc.ncbi.nlm.nih.gov/articles/PMC9784577/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
4abut	GABA	Roseburia hominis	glu_L	L-glutamate	Alistipes sp	no_qualifying_direct_support	no_exact_species_release_evidence_found	Roseburia hominis	A2-183 (DSM 16839)	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Bhattacharya et al. 2022	10.3390/microorganisms10122496	https://pmc.ncbi.nlm.nih.gov/articles/PMC9784577/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
4abut	GABA	Roseburia hominis	glu_L	L-glutamate	Bacteroides ovatus	no_qualifying_direct_support	no_exact_species_release_evidence_found	Roseburia hominis	A2-183 (DSM 16839)	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Bhattacharya et al. 2022	10.3390/microorganisms10122496	https://pmc.ncbi.nlm.nih.gov/articles/PMC9784577/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
4abut	GABA	Roseburia hominis	glu_L	L-glutamate	Eubacterium rectale	no_qualifying_direct_support	no_exact_species_release_evidence_found	Roseburia hominis	A2-183 (DSM 16839)	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Bhattacharya et al. 2022	10.3390/microorganisms10122496	https://pmc.ncbi.nlm.nih.gov/articles/PMC9784577/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
but	Butyrate	Alistipes onderdonkii	glyc3p	Glycerol 3-phosphate	Gemmiger formicilis	no_qualifying_direct_support	no_exact_species_release_evidence_found	Alistipes onderdonkii	WAL 8169T	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Song et al. 2006	10.1099/ijs.0.64318-0	https://pubmed.ncbi.nlm.nih.gov/16902041/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
but	Butyrate	Alistipes onderdonkii	lac_D	D-lactate	Eubacterium rectale	no_qualifying_direct_support	no_exact_species_release_evidence_found	Alistipes onderdonkii	WAL 8169T	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Song et al. 2006	10.1099/ijs.0.64318-0	https://pubmed.ncbi.nlm.nih.gov/16902041/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
but	Butyrate	Alistipes onderdonkii	lac_D	D-lactate	Gemmiger formicilis	no_qualifying_direct_support	no_exact_species_release_evidence_found	Alistipes onderdonkii	WAL 8169T	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Song et al. 2006	10.1099/ijs.0.64318-0	https://pubmed.ncbi.nlm.nih.gov/16902041/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
but	Butyrate	Alistipes onderdonkii	lac_D	D-lactate	Oscillibacter sp	no_qualifying_direct_support	no_exact_species_release_evidence_found	Alistipes onderdonkii	WAL 8169T	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Song et al. 2006	10.1099/ijs.0.64318-0	https://pubmed.ncbi.nlm.nih.gov/16902041/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
but	Butyrate	Alistipes onderdonkii	lac_D	D-lactate	Roseburia hominis	no_qualifying_direct_support	no_exact_species_release_evidence_found	Alistipes onderdonkii	WAL 8169T	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Song et al. 2006	10.1099/ijs.0.64318-0	https://pubmed.ncbi.nlm.nih.gov/16902041/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
but	Butyrate	Alistipes onderdonkii	ser_L	L-serine	Gemmiger formicilis	no_qualifying_direct_support	no_exact_species_release_evidence_found	Alistipes onderdonkii	WAL 8169T	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Song et al. 2006	10.1099/ijs.0.64318-0	https://pubmed.ncbi.nlm.nih.gov/16902041/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
but	Butyrate	Alistipes onderdonkii	succ	Succinate	Eubacterium rectale	direct_supported	same_species_culture_end_product	Alistipes onderdonkii	WAL 8169T (ATCC BAA-1178T)	The species description reported succinic acid as the major metabolic end product, with minor acetate and propionate.	Song et al. 2006	10.1099/ijs.0.64318-0	https://pubmed.ncbi.nlm.nih.gov/16902041/	Direct species/type-strain culture evidence supports the donor-to-succinate step, not every CANNEX GEM strain or the full route.
but	Butyrate	Alistipes onderdonkii	succ	Succinate	Gemmiger formicilis	direct_supported	same_species_culture_end_product	Alistipes onderdonkii	WAL 8169T (ATCC BAA-1178T)	The species description reported succinic acid as the major metabolic end product, with minor acetate and propionate.	Song et al. 2006	10.1099/ijs.0.64318-0	https://pubmed.ncbi.nlm.nih.gov/16902041/	Direct species/type-strain culture evidence supports the donor-to-succinate step, not every CANNEX GEM strain or the full route.
but	Butyrate	Alistipes sp	glyc3p	Glycerol 3-phosphate	Gemmiger formicilis	no_qualifying_direct_support	taxon_resolution_insufficient	Alistipes sp		The CANNEX donor is unresolved below genus level, so species- or strain-specific precursor-release evidence cannot be assigned.				Not a biological negative; direct evidence could not be matched at the taxonomic resolution required by the prespecified rule.
but	Butyrate	Alistipes sp	lac_D	D-lactate	Eubacterium rectale	no_qualifying_direct_support	taxon_resolution_insufficient	Alistipes sp		The CANNEX donor is unresolved below genus level, so species- or strain-specific precursor-release evidence cannot be assigned.				Not a biological negative; direct evidence could not be matched at the taxonomic resolution required by the prespecified rule.
but	Butyrate	Alistipes sp	lac_D	D-lactate	Gemmiger formicilis	no_qualifying_direct_support	taxon_resolution_insufficient	Alistipes sp		The CANNEX donor is unresolved below genus level, so species- or strain-specific precursor-release evidence cannot be assigned.				Not a biological negative; direct evidence could not be matched at the taxonomic resolution required by the prespecified rule.
but	Butyrate	Alistipes sp	lac_D	D-lactate	Oscillibacter sp	no_qualifying_direct_support	taxon_resolution_insufficient	Alistipes sp		The CANNEX donor is unresolved below genus level, so species- or strain-specific precursor-release evidence cannot be assigned.				Not a biological negative; direct evidence could not be matched at the taxonomic resolution required by the prespecified rule.
but	Butyrate	Alistipes sp	lac_D	D-lactate	Roseburia hominis	no_qualifying_direct_support	taxon_resolution_insufficient	Alistipes sp		The CANNEX donor is unresolved below genus level, so species- or strain-specific precursor-release evidence cannot be assigned.				Not a biological negative; direct evidence could not be matched at the taxonomic resolution required by the prespecified rule.
but	Butyrate	Alistipes sp	ser_L	L-serine	Gemmiger formicilis	no_qualifying_direct_support	taxon_resolution_insufficient	Alistipes sp		The CANNEX donor is unresolved below genus level, so species- or strain-specific precursor-release evidence cannot be assigned.				Not a biological negative; direct evidence could not be matched at the taxonomic resolution required by the prespecified rule.
but	Butyrate	Alistipes sp	succ	Succinate	Eubacterium rectale	no_qualifying_direct_support	taxon_resolution_insufficient	Alistipes sp		The CANNEX donor is unresolved below genus level, so species- or strain-specific precursor-release evidence cannot be assigned.				Not a biological negative; direct evidence could not be matched at the taxonomic resolution required by the prespecified rule.
but	Butyrate	Alistipes sp	succ	Succinate	Gemmiger formicilis	no_qualifying_direct_support	taxon_resolution_insufficient	Alistipes sp		The CANNEX donor is unresolved below genus level, so species- or strain-specific precursor-release evidence cannot be assigned.				Not a biological negative; direct evidence could not be matched at the taxonomic resolution required by the prespecified rule.
but	Butyrate	Bacteroides ovatus	26dap_M	meso-2,6-Diaminoheptanedioate	Roseburia hominis	no_qualifying_direct_support	same_species_measurement_did_not_support	Bacteroides ovatus	3_8_47FAA; ATCC 8483	The same-species cultured-strain metabolomics resource did not provide qualifying extracellular release evidence for this exact precursor under the prespecified evidence rule.	Han et al. 2021	10.1038/s41586-021-03707-9	https://pubmed.ncbi.nlm.nih.gov/34262212/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
but	Butyrate	Bacteroides ovatus	glyc3p	Glycerol 3-phosphate	Gemmiger formicilis	no_qualifying_direct_support	same_species_measurement_did_not_support	Bacteroides ovatus	3_8_47FAA; ATCC 8483	The same-species cultured-strain metabolomics resource did not provide qualifying extracellular release evidence for this exact precursor under the prespecified evidence rule.	Han et al. 2021	10.1038/s41586-021-03707-9	https://pubmed.ncbi.nlm.nih.gov/34262212/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
but	Butyrate	Bacteroides ovatus	lac_D	D-lactate	Eubacterium rectale	no_qualifying_direct_support	stereochemistry_unresolved	Bacteroides ovatus	3_8_47FAA; ATCC 8483	The cultured-strain metabolomics resource measured extracellular lactic acid, but did not resolve the D/L enantiomer required by the GEM edge.	Han et al. 2021	10.1038/s41586-021-03707-9	https://pubmed.ncbi.nlm.nih.gov/34262212/	Total lactate evidence was not counted as direct support for an enantiomer-specific D- or L-lactate GEM relationship.
but	Butyrate	Bacteroides ovatus	lac_D	D-lactate	Gemmiger formicilis	no_qualifying_direct_support	stereochemistry_unresolved	Bacteroides ovatus	3_8_47FAA; ATCC 8483	The cultured-strain metabolomics resource measured extracellular lactic acid, but did not resolve the D/L enantiomer required by the GEM edge.	Han et al. 2021	10.1038/s41586-021-03707-9	https://pubmed.ncbi.nlm.nih.gov/34262212/	Total lactate evidence was not counted as direct support for an enantiomer-specific D- or L-lactate GEM relationship.
but	Butyrate	Bacteroides ovatus	lac_D	D-lactate	Oscillibacter sp	no_qualifying_direct_support	stereochemistry_unresolved	Bacteroides ovatus	3_8_47FAA; ATCC 8483	The cultured-strain metabolomics resource measured extracellular lactic acid, but did not resolve the D/L enantiomer required by the GEM edge.	Han et al. 2021	10.1038/s41586-021-03707-9	https://pubmed.ncbi.nlm.nih.gov/34262212/	Total lactate evidence was not counted as direct support for an enantiomer-specific D- or L-lactate GEM relationship.
but	Butyrate	Bacteroides ovatus	lac_D	D-lactate	Roseburia hominis	no_qualifying_direct_support	stereochemistry_unresolved	Bacteroides ovatus	3_8_47FAA; ATCC 8483	The cultured-strain metabolomics resource measured extracellular lactic acid, but did not resolve the D/L enantiomer required by the GEM edge.	Han et al. 2021	10.1038/s41586-021-03707-9	https://pubmed.ncbi.nlm.nih.gov/34262212/	Total lactate evidence was not counted as direct support for an enantiomer-specific D- or L-lactate GEM relationship.
but	Butyrate	Bacteroides ovatus	ser_L	L-serine	Gemmiger formicilis	no_qualifying_direct_support	same_species_measurement_did_not_support	Bacteroides ovatus	3_8_47FAA; ATCC 8483	The same-species cultured-strain metabolomics resource did not provide qualifying extracellular release evidence for this exact precursor under the prespecified evidence rule.	Han et al. 2021	10.1038/s41586-021-03707-9	https://pubmed.ncbi.nlm.nih.gov/34262212/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
but	Butyrate	Bacteroides ovatus	succ	Succinate	Eubacterium rectale	direct_supported	same_species_culture_metabolite	Bacteroides ovatus	ATCC 8483	A defined culture study attributed succinate production to B. ovatus during plant-polysaccharide fermentation.	Liu et al. 2020	10.1128/AEM.01905-19	https://doi.org/10.1128/AEM.01905-19	Direct same-species culture evidence supports the donor-to-succinate step, not all four CANNEX donor GEMs or the full route.
but	Butyrate	Bacteroides ovatus	succ	Succinate	Gemmiger formicilis	direct_supported	same_species_culture_metabolite	Bacteroides ovatus	ATCC 8483	A defined culture study attributed succinate production to B. ovatus during plant-polysaccharide fermentation.	Liu et al. 2020	10.1128/AEM.01905-19	https://doi.org/10.1128/AEM.01905-19	Direct same-species culture evidence supports the donor-to-succinate step, not all four CANNEX donor GEMs or the full route.
but	Butyrate	Bacteroides xylanisolvens	26dap_M	meso-2,6-Diaminoheptanedioate	Roseburia hominis	no_qualifying_direct_support	no_exact_species_release_evidence_found	Bacteroides xylanisolvens	XB1AT (DSM 18836T)	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Chassard et al. 2008	10.1099/ijs.0.65504-0	https://pubmed.ncbi.nlm.nih.gov/18398210/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
but	Butyrate	Bacteroides xylanisolvens	glyc3p	Glycerol 3-phosphate	Gemmiger formicilis	no_qualifying_direct_support	no_exact_species_release_evidence_found	Bacteroides xylanisolvens	XB1AT (DSM 18836T)	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Chassard et al. 2008	10.1099/ijs.0.65504-0	https://pubmed.ncbi.nlm.nih.gov/18398210/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
but	Butyrate	Bacteroides xylanisolvens	lac_D	D-lactate	Eubacterium rectale	no_qualifying_direct_support	no_exact_species_release_evidence_found	Bacteroides xylanisolvens	XB1AT (DSM 18836T)	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Chassard et al. 2008	10.1099/ijs.0.65504-0	https://pubmed.ncbi.nlm.nih.gov/18398210/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
but	Butyrate	Bacteroides xylanisolvens	lac_D	D-lactate	Gemmiger formicilis	no_qualifying_direct_support	no_exact_species_release_evidence_found	Bacteroides xylanisolvens	XB1AT (DSM 18836T)	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Chassard et al. 2008	10.1099/ijs.0.65504-0	https://pubmed.ncbi.nlm.nih.gov/18398210/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
but	Butyrate	Bacteroides xylanisolvens	lac_D	D-lactate	Oscillibacter sp	no_qualifying_direct_support	no_exact_species_release_evidence_found	Bacteroides xylanisolvens	XB1AT (DSM 18836T)	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Chassard et al. 2008	10.1099/ijs.0.65504-0	https://pubmed.ncbi.nlm.nih.gov/18398210/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
but	Butyrate	Bacteroides xylanisolvens	lac_D	D-lactate	Roseburia hominis	no_qualifying_direct_support	no_exact_species_release_evidence_found	Bacteroides xylanisolvens	XB1AT (DSM 18836T)	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Chassard et al. 2008	10.1099/ijs.0.65504-0	https://pubmed.ncbi.nlm.nih.gov/18398210/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
but	Butyrate	Bacteroides xylanisolvens	lac_L	L-lactate	Eubacterium rectale	no_qualifying_direct_support	no_exact_species_release_evidence_found	Bacteroides xylanisolvens	XB1AT (DSM 18836T)	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Chassard et al. 2008	10.1099/ijs.0.65504-0	https://pubmed.ncbi.nlm.nih.gov/18398210/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
but	Butyrate	Bacteroides xylanisolvens	lac_L	L-lactate	Roseburia hominis	no_qualifying_direct_support	no_exact_species_release_evidence_found	Bacteroides xylanisolvens	XB1AT (DSM 18836T)	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Chassard et al. 2008	10.1099/ijs.0.65504-0	https://pubmed.ncbi.nlm.nih.gov/18398210/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
but	Butyrate	Bacteroides xylanisolvens	rib_D	D-ribose	Gemmiger formicilis	no_qualifying_direct_support	no_exact_species_release_evidence_found	Bacteroides xylanisolvens	XB1AT (DSM 18836T)	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Chassard et al. 2008	10.1099/ijs.0.65504-0	https://pubmed.ncbi.nlm.nih.gov/18398210/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
but	Butyrate	Bacteroides xylanisolvens	ser_L	L-serine	Gemmiger formicilis	no_qualifying_direct_support	no_exact_species_release_evidence_found	Bacteroides xylanisolvens	XB1AT (DSM 18836T)	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Chassard et al. 2008	10.1099/ijs.0.65504-0	https://pubmed.ncbi.nlm.nih.gov/18398210/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
but	Butyrate	Bacteroides xylanisolvens	succ	Succinate	Eubacterium rectale	direct_supported	same_species_culture_end_product	Bacteroides xylanisolvens	XB1AT (DSM 18836T)	The species description reported conversion of xylan and sugars mainly to acetate, propionate and succinate.	Chassard et al. 2008	10.1099/ijs.0.65504-0	https://pubmed.ncbi.nlm.nih.gov/18398210/	Direct species/type-strain culture evidence supports the donor-to-succinate step, not every CANNEX GEM strain or the full route.
